BFS_NR_GEMEINDE;GEMEINDE_NAME;Jahr;Abschoepfung_in_CHF;Auszahlung_Mindestausstattung_in_CHF;Lastenausgleich_Sozialhilfe_in_CHF;Lastenausgleich_Flaeche_in_CHF;Lastenausgleich_Besondere_Belastungen_in_CHF;Auszahlung_Abschoepfung_in_CHF
4506;Sulgen;2014;;;;;;
4696;TŠgerwilen;2014;130972;; ; ;;130972
4611;Thundorf;2014;;; ;-228068;;-228068
4776;Tobel-TŠgerschen;2014;;-173366; ; ;;-173366
4616;Uesslingen-Buch;2014;;; ;-197616;;-197616
4451;Uttwil;2014;48466;; ; ;;48466
4871;Wagenhausen ;2014;;-281373; ;-32473;;-313846
4701;WŠldi ;2014;;; ;-158746;;-158746
4781;WŠngi ;2014;;;;;;
4621;Warth-Weiningen ;2014;167838;; ; ;;167838
4946;Weinfelden;2014;84348;; ; ;;84348
4951;Wigoltingen ;2014;;-48214; ;-155457;;-203671
4786;Wilen;2014;;;;;;
4791;Wuppenau;2014;;-282861; ;-176617;;-459478
4511;Zihlschlacht-Sitterdorf ;2014;45054; ; ; ;;45054
4551;Aadorf;2013; ; ; ; ;;
4711;Affeltrangen;2013; ;-132852; ; ;;-132852
4641;Altnau;2013; ; ; ; ;;
4881;Amlikon-Bissegg;2013; ;-187353; ;-206885;-40000;-434238
4461;Amriswil;2013; ;-2716277;-300072; ;;-3016349
4401;Arbon;2013; ;-1106555;-777504; ;-170000;-2054059
4536;Basadingen-Schlattingen;2013; ; ; ;-196880;;-196880
4891;Berg;2013; ; ; ; ;;
4801;Berlingen;2013;40988; ; ; ;;40988
4716;Bettwiesen;2013; ; ; ; ;;
4721;Bichelsee-Balterswil ;2013; ; ; ; ;;
4901;Birwinken;2013; ;-385570; ;-153295;;-538865
4471;Bischofszell;2013; ; ;-133104; ;;-133104
4643;Bottighofen;2013;685704; ; ; ;;685704
4723;Braunau;2013; ;-130077; ;-147177;;-277254
4911;Bürglen ;2013; ; ;-27376; ;;-27376
4921;Bussnang;2013;41613; ; ;-199456;;-157843
4545;Diessenhofen;2013;26495; ;-84312; ;;-57817
4406;Dozwil;2013; ; ; ; ;;
4411;Egnach;2013; ; ; ; ;;
4476;Erlen;2013; ;-402993; ; ;;-402993
4646;Ermatingen;2013;265437; ; ; ;;265437
4806;Eschenz;2013; ;-81604; ;-75302;;-156906
4724;Eschlikon;2013; ; ; ; ;;
4561;Felben-Wellhausen;2013; ; ;-20288; ;;-20288
4726;Fischingen;2013; ;-211185;-41232;-474168;-170000;-896585
4566;Frauenfeld ;2013;629210; ;-957920; ;;-328710
4571;Gachnang;2013;55900; ; ; ;;55900
4651;Gottlieben;2013;38446; ; ; ;;38446
4656;Güttingen;2013;6629; ; ; ;;6629
4486;Hauptwil-Gottshaus;2013; ;-348659; ; ;-60000;-408659
4416;Hefenhofen;2013; ;-335742;-19488; ;;-355230
4811;Herdern;2013; ; ; ;-198513;;-198513
4495;Hohentannen;2013; ;-180505; ;-125028;;-305533
4816;Homburg;2013; ;-44645; ;-338330;-50000;-432975
4421;Horn;2013;229371; ; ; ;;229371
4590;Hüttlingen;2013; ;-132802; ;-169326;;-302128
4821;Hüttwilen;2013;14742; ; ;-251321;;-236579
4666;Kemmental;2013; ; ; ;-368690;;-368690
4426;Kesswil;2013;1329; ; ; ;;1329
4501;Kradolf-Schönenberg;2013; ;-483652; ; ;;-483652
4671;Kreuzlingen;2013;91815; ;-651168; ;;-559353
4681;Langrickenbach;2013; ;-274056; ;-131675;;-405731
4683;Lengwil;2013; ; ; ; ;;
4741;Lommis;2013;4502; ; ;-51750;;-47248
4826;Mammern;2013;38933; ; ;-56580;;-17647
4941;Märstetten;2013; ; ; ; ;;
4591;Matzingen;2013; ; ;; ;;
4831;Müllheim;2013; ;-59319; ; ;;-59319
4746;Münchwilen;2013; ; ; ; ;;
4691;Münsterlingen;2013;136532; ; ; ;;136532
4601;Neunforn;2013;19453; ; ;-175352;;-155899
4841;Pfyn ;2013; ;-188274; ; ;;-188274
4846;Raperswilen;2013; ;-76913; ;-101959;;-178872
4751;Rickenbach;2013; ; ;-103720; ;;-103720
4431;Roggwil;2013;96292; ; ; ;;96292
4436;Romanshorn;2013; ;-539360; ; ;;-539360
4851;Salenstein;2013;322154; ; ; ;;322154
4441;Salmsach;2013; ;-259886; ; ;;-259886
4546;Schlatt ;2013; ;-90538; ;-186760;;-277298
4756;Schönholzerswilen;2013; ;-341932; ;-165393;;-507325
4761;Sirnach ;2013; ; ; ; ;;
4446;Sommeri;2013; ;-153394; ;-46552;;-199946
4864;Steckborn;2013; ; ;-147560; ;-80000;-227560
4606;Stettfurt;2013;50240; ; ; ;;50240
4506;Sulgen;2013; ; ; ; ;;
4696;Tägerwilen;2013;119589; ; ; ;;119589
4611;Thundorf;2013; ; ; ;-244168;;-244168
4776;Tobel-Tägerschen;2013; ;-160076; ; ;;-160076
4616;Uesslingen-Buch;2013; ; ; ;-196144;;-196144
4451;Uttwil;2013;27999; ; ; ;;27999
4871;Wagenhausen ;2013; ;-288987; ;-37927;;-326914
4701;Wäldi ;2013; ; ; ;-182712;;-182712
4781;Wängi ;2013; ; ; ; ;;
4621;Warth-Weiningen ;2013;142626; ; ; ;;142626
4946;Weinfelden;2013;151322; ; ; ;;151322
4951;Wigoltingen ;2013; ;-76711; ;-103178;;-179889
4786;Wilen;2013; ; ; ; ;;
4791;Wuppenau;2013; ;-264793; ;-175007;-100000;-539800
4511;Zihlschlacht-Sitterdorf ;2013;28231; ; ; ;;28231
4551;Aadorf;2012; ; ; ; ;;
4711;Affeltrangen;2012; ;-30160; ; ;;-30160
4641;Altnau;2012;5811; ; ; ;;5811
4881;Amlikon-Bissegg;2012; ;-197068; ;-205758;-40000;-442826
4461;Amriswil;2012; ;-3092912;-295560; ;;-3388472
4401;Arbon;2012; ;-1660840;-764232; ;-170000;-2595072
4536;Basadingen-Schlattingen;2012; ; ; ;-192970;;-192970
4891;Berg;2012; ; ; ; ;;
4801;Berlingen;2012;43068; ; ; ;;43068
4716;Bettwiesen;2012;1032; ; ; ;;1032
4721;Bichelsee-Balterswil ;2012; ; ; ; ;;
4901;Birwinken;2012; ;-369670; ;-146165;-20000;-535835
4471;Bischofszell;2012; ; ;-220280; ;;-220280
4643;Bottighofen;2012;700288; ;-16880; ;;683408
4723;Braunau;2012; ;-153379; ;-129904;;-283283
4911;Bürglen ;2012; ; ; ; ;;
4921;Bussnang;2012;61600; ; ;-197892;;-136292
4545;Diessenhofen;2012;34950; ;-82968; ;;-48018
4406;Dozwil;2012; ;-40690; ; ;;-40690
4411;Egnach;2012; ; ; ; ;;
4476;Erlen;2012; ;-151972; ; ;;-151972
4646;Ermatingen;2012;265301; ; ; ;;265301
4806;Eschenz;2012; ;-110454; ;-75440;;-185894
4724;Eschlikon;2012;2846; ; ; ;;2846
4561;Felben-Wellhausen;2012; ; ;-20024; ;;-20024
4726;Fischingen;2012; ;-268553;-40864;-469936;-250000;-1029353
4566;Frauenfeld ;2012;664732; ;-752864; ;;-88132
4571;Gachnang;2012;48705; ; ; ;;48705
4651;Gottlieben;2012;45267; ; ; ;;45267
4656;Güttingen;2012;4624; ; ; ;;4624
4486;Hauptwil-Gottshaus;2012; ;-256802; ; ;-120000;-376802
4416;Hefenhofen;2012; ;-272906; ; ;;-272906
4811;Herdern;2012; ; ; ;-195822;;-195822
4495;Hohentannen;2012; ;-152522; ;-113712;-20000;-286234
4816;Homburg;2012; ;-14713; ;-336720;-100000;-451433
4421;Horn;2012;215934; ; ; ;;215934
4590;Hüttlingen;2012; ;-141026; ;-168498;;-309524
4821;Hüttwilen;2012;24965; ; ;-246652;;-221687
4666;Kemmental;2012; ; ; ;-365792;;-365792
4426;Kesswil;2012; ; ; ; ;;
4501;Kradolf-Schönenberg;2012; ;-565875; ; ;;-565875
4671;Kreuzlingen;2012; ; ;-158464; ;;-158464
4681;Langrickenbach;2012; ;-241585; ;-130525;-20000;-392110
4683;Lengwil;2012; ; ; ; ;;
4741;Lommis;2012;9448; ; ;-51336;;-41888
4826;Mammern;2012;43238; ; ;-68310;;-25072
4941;Märstetten;2012; ; ; ; ;;
4591;Matzingen;2012; ; ;; ;;
4831;Müllheim;2012; ;-49292; ; ;;-49292
4746;Münchwilen;2012; ; ; ; ;;
4691;Münsterlingen;2012;125399; ; ; ;;125399
4601;Neunforn;2012;23923; ; ;-153755;;-129832
4841;Pfyn ;2012; ;-141636; ; ;-50000;-191636
4846;Raperswilen;2012; ;-66366; ;-101453;;-167819
4751;Rickenbach;2012; ; ;-183888; ;;-183888
4431;Roggwil;2012;66790; ; ; ;;66790
4436;Romanshorn;2012; ; ; ; ;;
4851;Salenstein;2012;365943; ; ; ;;365943
4441;Salmsach;2012; ;-222396; ; ;;-222396
4546;Schlatt ;2012; ;-69157; ;-183885;;-253042
4756;Schönholzerswilen;2012; ;-295873; ;-161046;;-456919
4761;Sirnach ;2012; ; ; ; ;;
4446;Sommeri;2012; ;-170491; ;-35535;;-206026
4864;Steckborn;2012; ; ;-262224; ;-120000;-382224
4606;Stettfurt;2012;52749; ; ; ;;52749
4506;Sulgen;2012; ; ; ; ;;
4696;Tägerwilen;2012;86479; ; ; ;;86479
4611;Thundorf;2012; ; ; ;-243984;;-243984
4776;Tobel-Tägerschen;2012; ;-80189; ; ;;-80189
4616;Uesslingen-Buch;2012; ; ; ;-196696;;-196696
4451;Uttwil;2012;20546; ; ; ;;20546
4871;Wagenhausen ;2012; ;-190420; ;-37053;;-227473
