BFS_NR_GEMEINDE;GEMEINDE_NAME;Jahr;Auszahlung_Abschoepfung_in_CHF;Auszahlung_Abschoepfung_in_CHF_pro_Einwohner;;;;;;
4545;Diessenhofen;2011;-4536;-1;;;;;;
4406;Dozwil;2011;-36544;-57;;;;;;
4411;Egnach;2011;;;;;;;;
4476;Erlen;2011;-120212;-38;;;;;;
4646;Ermatingen;2011;229587;80;;;;;;
4806;Eschenz;2011;-174326;-105;;;;;;
4724;Eschlikon;2011;11624;3;;;;;;
4561;Felben-Wellhausen;2011;;;;;;;;
4726;Fischingen;2011;-958097;-371;;;;;;
4566;Frauenfeld;2011;-525237;-23;;;;;;
4571;Gachnang;2011;21339;6;;;;;;
4651;Gottlieben;2011;53166;173;;;;;;
4656;Guettingen;2011;;;;;;;;
4486;Hauptwil-Gottshaus;2011;-349733;-192;;;;;;
4416;Hefenhofen;2011;-255420;-215;;;;;;
4811;Herdern;2011;-214022;-226;;;;;;
4495;Hohentannen;2011;-263331;-435;;;;;;
4816;Homburg;2011;-567536;-381;;;;;;
4421;Horn;2011;182247;70;;;;;;
4590;Huettlingen;2011;-307752;-375;;;;;;
4821;Huettwilen;2011;-219951;-147;;;;;;
4666;Kemmental;2011;-367885;-161;;;;;;
4426;Kesswil;2011;;;;;;;;
4501;Kradolf-Schoenenberg;2011;-531176;-162;;;;;;
4671;Kreuzlingen;2011;;;;;;;;
4681;Langrickenbach;2011;-410979;-367;;;;;;
4683;Lengwil;2011;5479;4;;;;;;
4741;Lommis;2011;-38313;-35;;;;;;
4826;Mammern;2011;-21524;-37;;;;;;
4941;Maerstetten;2011;-59520;-24;;;;;;
4591;Matzingen;2011;-39705;-16;;;;;;
4831;Muellheim;2011;;;;;;;;
4746;Muenchwilen;2011;;;;;;;;
4691;Muensterlingen;2011;129015;45;;;;;;
4601;Neunforn;2011;-128039;-132;;;;;;
4841;Pfyn;2011;-142207;-74;;;;;;
4846;Raperswilen;2011;-173290;-438;;;;;;
4751;Rickenbach;2011;-217360;-88;;;;;;
4431;Roggwil;2011;72331;25;;;;;;
4436;Romanshorn;2011;-140000;-14;;;;;;
4851;Salenstein;2011;358441;280;;;;;;
4441;Salmsach;2011;-180009;-138;;;;;;
4546;Schlatt;2011;-250557;-157;;;;;;
4756;Schoenholzerswilen;2011;-429892;-562;;;;;;
4761;Sirnach;2011;;;;;;;;
4446;Sommeri;2011;-198892;-385;;;;;;
4864;Steckborn;2011;-195832;-56;;;;;;
4606;Stettfurt;2011;42267;38;;;;;;
